25;8642;8;1
61;8648;12;1
94;8645;4;2
98;8646;2;1
118;8649;6;3
120;8646;20;1
175;8643;24;2
193;8645;17;1
202;8650;15;1
210;8650;16;1
225;8650;21;5
274;8653;11;1
280;8653;3;2
286;8652;24;1
313;8655;12;1
334;8655;1;4
349;8657;17;1
361;8658;22;1
369;8659;21;2
436;8664;2;2
499;8666;20;4
552;8670;20;1
560;8670;18;2
561;8669;20;1
596;8672;8;2
628;8674;20;2
652;8675;20;4
659;8675;4;2
687;8676;13;1
692;8676;18;1
698;8677;18;2
701;8677;21;2
715;8678;20;1
723;8678;10;4
765;8680;5;3
784;8683;2;1
790;8683;13;1
794;8681;1;2
823;8681;1;1
830;8681;2;2
848;8684;3;2
853;8684;18;1
861;8686;23;5
892;8686;18;3
914;8686;7;2
925;8693;16;2
947;8688;13;5
951;8691;9;2
982;8689;4;1
998;8692;20;1
1006;8688;19;1
1009;8688;12;1
1021;8688;14;1
1087;8695;9;2
1094;8700;13;1
1105;8698;22;3
1109;8701;7;1
1126;8695;3;5
1127;8696;21;1
1129;8699;14;2
1134;8697;3;1
1175;8695;7;1
1180;8702;21;3
1189;8702;14;1
1198;8699;2;2
1205;8695;8;1
1237;8705;13;3
1270;8706;2;1
1339;8710;14;1
1342;8707;7;5
1347;8711;23;3
1371;8708;5;1
1378;8709;12;2
1396;8711;20;1
1460;8718;18;1
1467;8719;22;1
1474;8717;19;1
1495;8718;12;1
1505;8720;12;2
1518;8714;24;5
1535;8712;17;1
1550;8717;23;2
1562;8713;19;3
1563;8718;7;1
1576;8718;15;1
1606;8712;22;2
1626;8722;23;2
1652;8723;2;1
1672;8724;24;1
1684;8726;15;1
1685;8727;6;1
1718;8724;15;1
1726;8726;24;5
1760;8728;20;1
1763;8728;20;1
1779;8730;17;2
1787;8730;11;1
1789;8731;19;1
1904;8736;20;1
1916;8738;2;1
1937;8738;15;2
1948;8737;14;1
1951;8737;1;1
1984;8741;1;2
2023;8742;24;4
2031;8743;21;1
2048;8743;4;2
2051;8744;5;1
2062;8743;15;1
2104;8747;15;1
2141;8750;12;2
2150;8750;2;2
2162;8750;3;1
2177;8753;23;3
2179;8751;5;1
2189;8751;24;2
2208;8752;5;1
2215;8752;20;1
2219;8751;5;1
2228;8752;8;1
2236;8753;5;2
2239;8753;21;2
2273;8755;21;2
2294;8754;8;1
2311;8758;21;2
2317;8757;22;1
2347;8761;22;1
2350;8760;14;5
2370;8761;8;2
2384;8759;8;1
2401;8764;15;3
2429;8764;17;1
2483;8766;9;1
2491;8765;23;3
2520;8769;9;2
2541;8769;16;1
2545;8768;22;2
2574;8768;12;1
2591;8771;20;1
2602;8771;16;5
2605;8771;1;1
2649;8774;10;1
2666;8774;15;1
2669;8775;19;3
2675;8773;19;2
2690;8775;21;1
2692;8774;7;1
2730;8778;14;2
2737;8777;3;2
2741;8778;14;3
2800;8779;11;2
2826;8779;14;1
2847;8780;23;1
2862;8779;10;4
2864;8781;14;2
2870;8780;21;4
2911;8783;12;1
2921;8789;17;2
2950;8791;14;1
2970;8786;10;2
2975;8787;8;1
2987;8789;4;1
3000;8787;21;3
3002;8785;6;5
3031;8787;7;3
3032;8789;13;2
3041;8792;7;1
3055;8792;24;1
3061;8785;10;1
3067;8786;6;5
3121;8796;10;3
3138;8798;11;2
3145;8800;23;1
3172;8796;10;2
3185;8794;20;3
3203;8797;22;4
3210;8797;19;1
3213;8795;23;1
3232;8795;18;2
3252;8802;14;1
3278;8804;17;2
3279;8803;4;1
3286;8803;10;2
3290;8803;15;3
3299;8804;24;3
3360;8808;16;1
3374;8807;24;1
3379;8805;16;2
3385;8807;15;1
3407;8808;12;1
3408;8807;8;1
3412;8807;18;5
3446;8810;5;3
3453;8813;19;1
3456;8810;21;5
3469;8812;24;1
3494;8810;9;2
3507;8810;15;1
3555;8816;3;2
3571;8817;19;1
3575;8817;9;5
3578;8817;22;2
3589;8820;15;3
3592;8818;6;3
3614;8819;1;3
3647;8821;24;1
3656;8822;15;1
3669;8823;13;4
3703;8822;11;5
3735;8825;12;2
3743;8825;23;2
3754;8826;14;1
3764;8827;11;1
3774;8827;19;1
3781;8827;14;2
3797;8828;22;1
3799;8828;4;1
3809;8828;10;1
3830;8830;22;1
3833;8830;11;3
3878;8831;2;2
3882;8832;7;1
3895;8831;4;1
3922;8834;21;2
3928;8836;7;5
3956;8835;3;1
3965;8835;22;1
4008;8838;22;1
4024;8839;8;1
4032;8839;8;2
4060;8840;23;2
4064;8840;19;2
4081;8841;18;2
4092;8842;24;3
4112;8842;14;1
4122;8843;19;2
4145;8844;20;2
4154;8845;9;3
4157;8845;5;1
4160;8845;6;1
4174;8847;24;2
4185;8846;20;1
4209;8848;12;2
4218;8848;21;3
4227;8849;24;1
4232;8849;10;2
4280;8850;20;1
4323;8852;4;1
4327;8852;4;3
4333;8853;22;2
4336;8852;19;1
4340;8852;4;3
4367;8854;24;1
4391;8855;10;2
4420;8856;8;2
4428;8857;23;1
4453;8858;8;1
4471;8859;23;1
4487;8859;21;2
4507;8860;15;3
4529;8861;14;1
4541;8861;10;2
4547;8862;19;1
4566;8861;16;2
4576;8865;19;1
4589;8862;18;1
4597;8863;16;1
4613;8863;11;1
4634;8872;21;1
4651;8866;21;1
4660;8867;13;1
4693;8870;6;1
4701;8871;20;5
4707;8872;20;1
4772;8881;13;2
4781;8875;14;3
4794;8879;21;1
4804;8874;20;2
4814;8877;24;1
4907;8875;21;1
4910;8880;5;2
4978;8889;11;3
4988;8891;16;2
5021;8888;15;2
5054;8885;13;5
5102;8889;13;3
5111;8888;11;1
5130;8891;22;2
5155;8886;20;3
5165;8888;5;1
5196;8892;7;1
5305;8897;15;5
5320;8898;21;1
5322;8901;18;1
5333;8900;20;1
5357;8901;23;1
5375;8901;20;5
5404;8902;24;1
5418;8904;11;1
5471;8913;20;1
5476;8909;18;4
5478;8908;16;1
5489;8908;7;1
